[2020-04-08T23:59:15.268+0500][gc,metaspace ] GC(13) Metaspace: 16055K->16055K(1064960K)
[2020-04-08T23:59:15.268+0500][gc           ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 29M->5M(512M) 29.492ms
[2020-04-08T23:59:15.268+0500][gc,cpu       ] GC(13) User=0.01s Sys=0.03s Real=0.03s
[2020-04-09T03:51:07.619+0500][gc,start     ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-09T03:51:07.627+0500][gc,task      ] GC(14) Using 4 workers of 4 for evacuation
[2020-04-09T03:51:07.694+0500][gc,mmu       ] GC(14) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2020-04-09T03:51:07.694+0500][gc,phases    ] GC(14)   Pre Evacuate Collection Set: 6.7ms
[2020-04-09T03:51:07.694+0500][gc,phases    ] GC(14)   Evacuate Collection Set: 52.6ms
[2020-04-09T03:51:07.695+0500][gc,phases    ] GC(14)   Post Evacuate Collection Set: 1.3ms
[2020-04-09T03:51:07.695+0500][gc,phases    ] GC(14)   Other: 15.1ms
[2020-04-09T03:51:07.695+0500][gc,heap      ] GC(14) Eden regions: 24->0(24)
[2020-04-09T03:51:07.695+0500][gc,heap      ] GC(14) Survivor regions: 1->1(4)
[2020-04-09T03:51:07.695+0500][gc,heap      ] GC(14) Old regions: 6->6
[2020-04-09T03:51:07.695+0500][gc,heap      ] GC(14) Humongous regions: 0->0
[2020-04-09T03:51:07.695+0500][gc,metaspace ] GC(14) Metaspace: 16055K->16055K(1064960K)
[2020-04-09T03:51:07.696+0500][gc           ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 29M->5M(512M) 76.936ms
[2020-04-09T03:51:07.696+0500][gc,cpu       ] GC(14) User=0.01s Sys=0.03s Real=0.08s
